date,price,market_cap,volume,token,name,tvl_usd,volume_to_marketcap,price_change_%,market_cap_trend,tvl_trend,year,month,quarter,month_name
2024-09-27,0.0144580306409825,177946118.77922937,9716715.37949771,one,Harmony,2590045,0.0546048177176196,3.32367179809101,3.4019116182447684,-0.8704115567017112,2024,9,3,September
2024-09-28,0.0150606874678781,185328176.87709105,8824392.671944702,one,Harmony,2699439,0.0476149542969766,4.168318921577718,4.148479409669115,4.223633180118491,2024,9,3,September
2024-09-29,0.0146348500084955,180050392.58751005,7219666.171746233,one,Harmony,2044982,0.0400980307123587,-2.827476901640902,-2.8478045694482867,-24.244185551146003,2024,9,3,September
2024-09-30,0.0146991840074315,180789630.65674245,6761432.358893497,one,Harmony,2141800,0.0373994478241461,0.4395945219709318,0.4105728727434421,4.734418200257995,2024,9,3,September
2024-10-01,0.0134613790294939,165305127.6235823,9092712.384415964,one,Harmony,2634860,0.0550056281685408,-8.420909468932136,-8.564928738949584,23.020823606312455,2024,10,4,October
2024-10-02,0.0121455248468715,149560961.08831742,11174696.158497252,one,Harmony,1842384,0.0747166645438876,-9.775032556021168,-9.524306209736013,-30.076588509446424,2024,10,4,October
2024-10-03,0.0119236929929288,146643939.90552562,9106831.216488851,one,Harmony,1865328,0.062101653995084,-1.826449303257716,-1.9503894342249304,1.2453429903863666,2024,10,4,October
2024-10-04,0.0116460532341304,143344448.1709698,7483248.730726948,one,Harmony,2356479,0.0522046638444031,-2.32847121242582,-2.250002104881721,26.33054347546384,2024,10,4,October
2024-10-05,0.0124254208806992,152630716.2591814,6518061.02721155,one,Harmony,2370917,0.0427047791359588,6.6921181871701485,6.478289328049658,0.6126937689663325,2024,10,4,October
2024-10-06,0.0120971686511098,148937179.29249996,4380708.578729678,one,Harmony,2384378,0.0294131297473167,-2.64177956417756,-2.419917207496736,0.5677550078724725,2024,10,4,October
2024-10-07,0.0126619819016768,155652622.92626324,5192779.804259224,one,Harmony,2442659,0.0333613382584576,4.668970623263702,4.50891017653472,2.444285260139112,2024,10,4,October
2024-10-08,0.0130237157099714,160262371.41182756,9018972.988613866,one,Harmony,1961149,0.0562762981051723,2.8568498289093918,2.9615617128071703,-19.712534578097063,2024,10,4,October
2024-10-09,0.0129791459397016,159719741.50954852,6958149.363240163,one,Harmony,2462881,0.0435647422007891,-0.3422200796017294,-0.3385884643405501,25.583573711125474,2024,10,4,October
2024-10-10,0.0122340294027188,150607403.30863965,6351473.870658781,one,Harmony,1789556,0.0421723881504198,-5.740874942345576,-5.705204700925536,-27.33891730863164,2024,10,4,October
2024-10-11,0.0122100980580394,150067523.23653576,7244207.943896082,one,Harmony,1806156,0.0482729893028073,-0.1956129406892937,-0.3584684817900418,0.9276043890216412,2024,10,4,October
2024-10-12,0.0125147294336241,153825462.19574282,6459924.048266287,one,Harmony,2457561,0.0419951544825916,2.494913424419054,2.504165377130807,36.065821556941934,2024,10,4,October
2024-10-13,0.013328260203235,164093333.31594613,10597143.947863037,one,Harmony,2438877,0.064579978562927,6.500586160697375,6.675013988995815,-0.7602659710176041,2024,10,4,October
2024-10-14,0.0130703503589904,160709030.85670575,6930934.563862974,one,Harmony,1952468,0.0431272251902437,-1.935060092704932,-2.0624253227425338,-19.94397421436177,2024,10,4,October
2024-10-15,0.0138324318953001,170285106.23521253,8775430.75284645,one,Harmony,2569229,0.0515337538723149,5.83061291685667,5.958641731244807,31.58878916325389,2024,10,4,October
2024-10-16,0.0138317264985735,169845578.71586633,11129188.25363099,one,Harmony,2447037,0.0655253338813661,-0.0050995857553859,-0.2581127199340005,-4.755979322979775,2024,10,4,October
2024-10-17,0.0137224131414807,168870956.29418567,12156481.77299724,one,Harmony,2555871,0.071986811940709,-0.7903088389153767,-0.5738285500566986,4.447582933972805,2024,10,4,October
2024-10-18,0.0133602861372317,164386240.40128833,8114695.319778994,one,Harmony,2506540,0.0493635921106898,-2.6389455011696428,-2.6557058663685407,-1.9301052361406332,2024,10,4,October
2024-10-19,0.0140181351249317,172501145.2842464,7998128.018612836,one,Harmony,2519602,0.0463656516913761,4.923913911295386,4.9364866932588125,0.5211167585596144,2024,10,4,October
2024-10-20,0.0142130755130174,174897950.59236228,9109071.278848138,one,Harmony,2026668,0.0520822070698747,1.3906299685971124,1.389443127560952,-19.56396287985166,2024,10,4,October
2024-10-21,0.0151854451449739,186694011.80781505,10963924.3528164,one,Harmony,2114849,0.0587267060504478,6.841373853715682,6.744539415985496,4.351033321688602,2024,10,4,October
2024-10-22,0.0142399437706303,175346977.4822794,8332894.5775528755,one,Harmony,2078437,0.0475223165930818,-6.2263658741446015,-6.077878029219486,-1.7217304876140038,2024,10,4,October
2024-10-23,0.0138924365749427,170922638.7321151,7619522.240063552,one,Harmony,2518526,0.0445787772560985,-2.440369156543265,-2.5231907693484046,21.17403606652499,2024,10,4,October
2024-10-24,0.0131051948995892,161164380.82512963,8459683.319263924,one,Harmony,2426473,0.0524910236117436,-5.666692600010991,-5.709166427204215,-3.655034730632123,2024,10,4,October
2024-10-25,0.0137256144813403,168642676.6798236,8409148.419346645,one,Harmony,1961177,0.0498637034521921,4.734149980253188,4.6401666524616525,-19.175816091916133,2024,10,4,October
2024-10-26,0.0120412360309334,148092152.2339786,8387715.449129139,one,Harmony,1937180,0.0566384870676803,-12.271789016780964,-12.185838632567004,-1.223601949237629,2024,10,4,October
2024-10-27,0.0120885730227661,148744103.13952237,9235150.292358687,one,Harmony,2397252,0.0620875053022847,0.393124025731284,0.440233257271938,23.74957412321004,2024,10,4,October
2024-10-28,0.0123154114880776,151550591.7210196,7005402.377482277,one,Harmony,2381804,0.046224843452793,1.876470158093668,1.8867898103259504,-0.6444045098304207,2024,10,4,October
2024-10-29,0.0124051665531349,152441705.42011058,8530996.465446508,one,Harmony,2342863,0.0559623525723235,0.7288028105610911,0.5879975056325648,-1.6349372156567066,2024,10,4,October
2024-10-30,0.0126652550013234,155748546.92372993,10152320.651364474,one,Harmony,2497597,0.0651840473114401,2.096613915455814,2.169249874570811,6.60448348879128,2024,10,4,October
2024-10-31,0.0126003882605907,155055149.22883198,8717066.364272181,one,Harmony,2390849,0.0562191349827888,-0.5121629270468775,-0.4452033155965873,-4.274028195901902,2024,10,4,October
2024-11-01,0.0119089151692892,146644277.3722777,9245105.648937926,one,Harmony,2220342,0.0630444352456242,-5.487712576795301,-5.424438916337704,-7.131650723236804,2024,11,4,November
